word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
drink,S1,W2,drɪŋk,,
drive,S2,W2,draɪv,,
driver,S1,W2,,ˈdraɪvər,ˈdraɪvə
drop,S2,W3,,drɑːp,drɒp
drug,S2,W1,,drʌɡ,ˈdrʌɡ
duck,S3,,dʌk,,
dude,S3,,,duːd,djuːd
dust,S3,W3,dʌst,,
duty,S2,W1,,ˈduːtɪ,ˈdjuːtɪ
DVD,S3,W3,,,
ear,S2,W2,,ɪr,ɪə
earth,S2,W2,,ɜːrθ,ɜːθ
east,S1,W2,iːst,,
economics,,W3,,ˌiːkəˈnɑːmɪks,iːkəˈnɒmɪks
economy,S2,W1,,ɪˈkɑːnəmɪ,ɪˈkɒnəmɪ
edge,S2,W2,edʒ,,
edition,,W3,,ɪˈdɪʃn,ɪˈdɪʃ(ə)n
editor,,W2,,ˈedɪtər,ˈedɪtə
education,S1,W1,,ˌedʒʊˈkeɪʃn,edʒʊˈkeɪʃ(ə)n
effect,S1,W1,ɪˈfekt,,
efficiency,,W3,,ɪˈfɪʃnsɪ,ɪˈfɪʃ(ə)nsɪ
effort,S1,W1,,ˈefərt,ˈefət
egg,S1,W2,eɡ,,
election,S2,W1,,ɪˈlekʃn,ɪˈlekʃ(ə)n
electricity,S2,W3,,ɪˌlekˈtrɪsətɪ,ˌɪlekˈtrɪsɪtɪ
element,S2,W1,,ˈelɪmənt,ˈelɪm(ə)nt
elevator,S3,W3,,ˈelɪveɪtər,ˈelɪveɪtə
email,S2,W2,ˈiːmeɪl,,
emergency,S3,W3,,ɪˈmɜːrdʒənsɪ,ɪˈmɜːdʒ(ə)nsɪ
emotion,,W3,,ɪˈməʊʃn,ɪˈməʊʃ(ə)n
emphasis,S3,W2,ˈemfəsɪs,,
empire,,W3,,ˈempaɪər,ˈempaɪə
employee,S2,W2,,ɪmˈplɔɪiː,emplɔɪˈiː
employer,S2,W2,,ɪmˈplɔɪər,ɪmˈplɔɪə
employment,S2,W1,,ɪmˈplɔɪmənt,ɪmˈplɔɪm(ə)nt
end,S1,W1,end,,
enemy,,W2,ˈenəmɪ,,
energy,S2,W1,,ˈenərdʒɪ,ˈenədʒɪ
engine,S2,W2,ˈendʒɪn,,
engineer,S3,W3,,ˌendʒɪˈnɪr,endʒɪˈnɪə
engineering,S3,W3,,ˌendʒɪˈnɪrɪŋ,endʒɪˈnɪərɪŋ
enquiry,S2,W2,,ˈɪnkwərɪ,ɪnˈkwaɪrɪ
enterprise,,W2,,ˈentərpraɪz,ˈentəpraɪz
entertainment,S3,W3,,ˌentərˈteɪnmənt,entəˈteɪnm(ə)nt
enthusiasm,,W3,,ɪnˈθuːzɪæzəm,ɪnˈθjuːzɪæz(ə)m
entrance,S3,W3,,ˈentrəns,ˈentr(ə)ns
entry,S3,W2,ˈentrɪ,,
envelope,S3,,ˈenvələʊp,,
environment,S1,W1,,ɪnˈvaɪrənmənt,ɪnˈvaɪrənm(ə)nt
equipment,S2,W2,,ɪˈkwɪpmənt,ɪˈkwɪpm(ə)nt
era,,W3,,ˈɪrə,ˈɪərə
error,S3,W2,,ˈerər,ˈerə
escape,S3,,ɪˈskeɪp,,
essay,S3,,,ˈeseɪ,eˈseɪ
establishment,,W2,,ɪˈstæblɪʃmənt,ɪˈstæblɪʃm(ə)nt
estate,S2,W2,ɪˈsteɪt,,
estimate,S3,W2,,ˈestɪmeɪt,ˈestɪmət
evening,S1,W1,,ˈiːvnɪŋ,ˈiːv(ə)nɪŋ
event,S1,W1,ɪˈvent,,
evidence,S2,W1,,ˈevɪdəns,ˈevɪd(ə)ns
exam,S1,,ɪɡˈzæm,,
examination,,W2,,ɪɡˌzæməˈneɪʃən,ɪɡˌzæmɪˈneɪʃən
example,S1,W1,,ɪɡˈzæmpl,ɪɡˈzɑːmp(ə)l
exception,S3,W2,,ɪkˈsepʃn,ɪkˈsepʃ(ə)n
exchange,S2,W1,ɪksˈtʃeɪndʒ,,
excitement,S3,W3,ɪkˈsaɪtmənt,,
excuse,S3,,,ɪkˈskjuːs,ɪkˈskjuːz
executive,S3,W2,,ɪɡˈzekjətɪv,ɪɡˈzekjʊtɪv
exercise,S2,W2,,ˈeksərsaɪz,ˈeksəsaɪz
exhibition,,W2,,ˌeksɪˈbɪʃn,eksɪˈbɪʃ(ə)n
existence,S3,W2,,ɪɡˈzɪstəns,ɪɡˈzɪst(ə)ns
exit,S3,,ˈeksɪt,,
expansion,,W3,,ɪkˈspænʃn,ɪkˈspænʃ(ə)n
expectation,S3,W2,,ˌekspekˈteɪʃn,ekspekˈteɪʃ(ə)n
expenditure,,W3,,ɪkˈspendɪtʃər,ɪkˈspendɪtʃə
expense,S3,W2,ɪkˈspens,,
experience,S1,W1,,ɪkˈspɪrɪəns,ɪkˈspɪərɪəns
experiment,S3,W2,,ɪkˈsperɪmənt,ɪkˈsperɪment
expert,S3,W2,,ˈekspɜːrt,ˈekspɜːt
explanation,S3,W2,,ˌekspləˈneɪʃn,ekspləˈneɪʃ(ə)n
explosion,,W3,,ɪkˈspləʊʒn,ɪkˈspləʊʒ(ə)n
export,,W2,,ɪkˈspɔːrt (strong)/ɪkˈspɔːt (weak),ˈekspɔːrt (strong)/ˈekspɔːt (weak)
expression,S2,W2,,ɪkˈspreʃn,ɪkˈspreʃ(ə)n
extension,S3,W3,,ɪkˈstenʃn,ɪkˈstenʃ(ə)n
extent,S2,W1,ɪkˈstent,,
eye,S1,W1,aɪ,,
face,S1,W1,feɪs,,
facility,S2,W1,,fəˈsɪlətɪ,fəˈsɪlɪtɪ
fact,S1,W1,fækt,,
factor,S3,W1,,ˈfæktər,ˈfæktə
factory,S2,W2,,ˈfæktrɪ,ˈfækt(ə)rɪ
failure,S3,W2,,ˈfeɪljər,ˈfeɪljə
faith,S3,W2,feɪθ,,
fall,S2,W2,fɔːl,,
family,S1,W1,ˈfæməlɪ,,
fan,S3,W2,fæn,,
farm,S2,W2,,fɑːrm,fɑːm
farmer,S2,W2,,ˈfɑːrmər,ˈfɑːmə
fashion,S3,W2,,ˈfæʃn,ˈfæʃ(ə)n
father,S1,W1,,ˈfɑːðər,ˈfɑːðə
fault,S2,W3,fɔːlt,,
favour,S2,W3,,ˈfeɪvər,ˈfeɪvə
fear,S3,W1,,fɪr,fɪə
feature,S2,W1,,ˈfiːtʃər,ˈfiːtʃə
fee,S3,W3,fiː,,
feedback,S3,,ˈfiːdbæk,,
feeling,S1,W1,ˈfiːlɪŋ,,
female,,W3,ˈfiːmeɪl,,
fence,S3,,fens,,
festival,S3,W3,,ˈfestɪvl,ˈfestɪv(ə)l
field,S1,W1,fiːld,,
fight,S2,W3,faɪt,,
figure,S1,W1,,ˈfɪɡjər,ˈfɪɡə
file,S1,W2,faɪl,,
film,S1,W1,fɪlm,,
final,,W3,,ˈfaɪnl,ˈfaɪn(ə)l
finance,S3,W2,,ˈfaɪnæns,ˈfæɪnæns
finding,,W2,ˈfaɪndɪŋ,,
finger,S2,W2,,ˈfɪŋɡər,ˈfɪŋɡə
finish,S3,,ˈfɪnɪʃ,,
fire,S1,W1,,ˈfaɪər,ˈfaɪə
firm,S1,W1,,fɜːrm,fɜːm
fish,S1,W1,fɪʃ,,
fishing,S3,,ˈfɪʃɪŋ,,
flat,S2,W3,flæt,,
flavour,,W3,,ˈfleɪvər,ˈfleɪvə
flesh,,W3,fleʃ,,
flight,S3,W2,flaɪt,,
floor,S1,W1,,flɔːr,flɔː
flow,S3,W2,fləʊ,,
flower,S2,W2,,ˈflaʊər,ˈflaʊə
focus,S3,W2,ˈfəʊkəs,,
folk,S2,W3,fəʊk,,
food,S1,W1,fuːd,,
foot,S1,W1,fʊt,,
football,S1,W2,ˈfʊtbɔːl,,
force,S2,W1,,fɔːrs,fɔːs
forest,S2,W2,,ˈfɔːrɪst,ˈfɒrɪst
fork,S3,,,fɔːrk,fɔːk
form,S1,W1,,fɔːrm,ˈfɔːm
formation,,W3,,fɔːrˈmeɪʃn,fɔːˈmeɪʃ(ə)n
formula,S3,W3,,ˈfɔːrmjələ,ˈfɔːmjʊlə
fortnight,S3,,,ˈfɔːrtnaɪt,ˈfɔːtnaɪt
fortune,S3,W3,,ˈfɔːrtʃən,ˈfɔːtʃuːn
foundation,,W2,,faʊnˈdeɪʃn,faʊnˈdeɪʃ(ə)n
frame,S3,W3,freɪm,,
freedom,S3,W2,ˈfriːdəm,,
freeway,S2,W3,ˈfriːweɪ,,
freezer,S3,,,ˈfriːzər,ˈfriːzə
fridge,S2,,frɪdʒ,,
friend,S1,W1,frend,,
friendship,,W3,,ˈfrendʃɪp,ˈfren(d)ʃɪp
front,S1,W1,frʌnt,,
fruit,S2,W3,fruːt,,
fuel,S3,W2,ˈfjuːəl,,
fun,S2,W3,fʌn,,
function,S3,W1,,ˈfʌŋkʃn,ˈfʌŋ(k)ʃ(ə)n
fund,S3,W1,fʌnd,,
funeral,S3,,,ˈfjuːnərəl,ˈfjuːn(ə)r(ə)l
furniture,S2,W3,,ˈfɜːrnɪtʃər,ˈfɜːnɪtʃə
fuss,S3,,fʌs,,
future,S1,W1,,ˈfjuːtʃər,ˈfjuːtʃə
gain,,W3,ɡeɪn,,
gallery,,W3,,ˈɡælərɪ,ˈɡæl(ə)rɪ
game,S1,W1,ɡeɪm,,
gang,S3,,ɡæŋ,,
gap,S2,W2,ɡæp,,
garage,S2,,,ɡəˈrɑːʒ,ˈɡarɑː(d)ʒ
garbage,S3,,,ˈɡɑːrbɪdʒ,ˈɡɑːbɪdʒ
garden,S1,W1,,ˈɡɑːrdn,ˈɡɑːd(ə)n
garlic,S3,,,ˈɡɑːrlɪk,ˈɡɑːlɪk
gas,S1,W2,ɡæs,,
gasoline,S3,W3,ˈɡæsəliːn,,
gate,S2,W2,ɡeɪt,,
gear,S3,,,ɡɪr,ɡɪə
gene,S3,W3,dʒiːn,,
generation,S3,W2,,ˌdʒenəˈreɪʃn,dʒenəˈreɪʃ(ə)n
gentleman,S2,W2,,ˈdʒentlmən,ˈdʒent(ə)lmən
gift,S2,W2,ɡɪft,,
girl,S1,W1,,ɡɜːrl,ɡɜːl
girlfriend,S3,,,ˈɡɜːrlfrend,ˈɡɜːlfrend
glance,,W3,,ɡlæns,ɡlɑːns
glass,S1,W1,,ɡlæs,ɡlɑːs
glove,S3,,ɡlʌv,,
go,S1,,ɡəʊ,,
goal,S2,W1,ɡəʊl,,
god,S1,W1,,ɡɑːd,ɡɒd
gold,S2,W2,ɡəʊld,,
golf,S2,W3,,ɡɑːlf,ɡɒlf
goodness,S2,,ˈɡʊdnəs,,
goods,S2,W2,,ˈɡʊdz,ɡʊdz
government,S2,W1,,ˈɡʌvərnmənt,ˈɡʌvənmənt
governor,,W3,,ˈɡʌvərnər,ˈɡʌv(ə)nə
grade,S2,W3,ɡreɪd,,
gram,S3,,ɡræm,,
grammar,S3,W3,,ˈɡræmər,ˈɡræmə
grandad,S3,,ˈɡrændæd,,
grandfather,S3,,,ˈɡrænfɑːðər,ˈɡræn(d)fɑːðə
grandma,S2,,,ˈɡrænmɑː,ˈɡræn(d)mɑː
grandmother,S3,,,ˈɡrænmʌðər,ˈɡræn(d)mʌðə
grandpa,S3,,,ˈɡrænpɑː,ˈɡræn(d)pɑː
granny,S3,,ˈɡrænɪ,,
grant,S2,W2,,ɡrænt,ɡrɑːnt
graph,S3,,,ɡræf,ɡrɑːf
grass,S2,W2,,ɡræs,ɡrɑːs
green,S2,W3,ɡriːn,,
grocery,S3,,,ˈɡrəʊsərɪ,ˈɡrəʊs(ə)rɪ
ground,S1,W1,ɡraʊnd,,
group,S1,W1,ɡruːp,,
growth,S3,W1,ɡrəʊθ,,
guarantee,S3,,,ˌɡærənˈtiː,ɡær(ə)nˈtiː
guard,S3,W3,,ɡɑːrd,ɡɑːd
guess,S3,,ɡes,,
guest,S3,W2,ɡest,,
guidance,S3,W3,,ˈɡaɪdns,ˈɡaɪd(ə)ns
guide,S3,W2,ɡaɪd,,
guitar,S3,W3,,ɡɪˈtɑːr,ɡɪˈtɑː
gun,S2,W2,ɡʌn,,
guy,S1,W3,ɡaɪ,,
habit,S3,W3,ˈhæbɪt,,
hair,S1,W1,,her,heə
half,S1,W2,,hæf,hɑːf
hall,S2,W2,hɔːl,,
hand,S1,W1,hænd,,
handbag,S3,,,ˈhændbæɡ,ˈhæn(d)bæɡ
handle,S3,,,ˈhændl,ˈhænd(ə)l
harm,S3,W3,,hɑːrm,hɑːm
hat,S1,W3,hæt,,
head,S1,W1,hed,,
headquarters,,W3,,ˈhedkwɔːrtərz,hedˈkwɔːtəz
health,S1,W1,helθ,,
hearing,S3,W2,,ˈhɪrɪŋ,ˈhɪərɪŋ
heart,S1,W1,,hɑːrt,hɑːt
heat,S2,W2,hiːt,,
heater,S3,,,ˈhiːtər,ˈhiːtə
heating,S3,,ˈhiːtɪŋ,,
heaven,S3,W3,,ˈhevn,ˈhev(ə)n
height,S2,W3,haɪt,,
hell,S1,W3,hel,,
hello,S1,,həˈləʊ,,
help,S1,W1,help,,
hero,,W3,,ˈhɪrəʊ,ˈhɪərəʊ
highway,S3,,ˈhaɪweɪ,,
hill,S2,W2,hɪl,,
historian,,W3,hɪˈstɔːrɪən,,
history,S2,W1,,ˈhɪstrɪ,ˈhɪst(ə)rɪ
hit,S3,W3,hɪt,,
hold,S2,W3,həʊld,,
holder,,W2,,ˈhəʊldər,ˈhəʊldə
holding,,W3,ˈhəʊldɪŋ,,
hole,S1,W2,həʊl,,
holiday,S1,W2,,ˈhɑːlədeɪ,ˈhɒlɪdeɪ
home,S1,W1,həʊm,,
homework,S2,,,ˈhəʊmwɜːrk,ˈhəʊmwɜːk
honey,S2,,ˈhʌnɪ,,
honour,,W3,,ˈɑːnər,ˈɒnə
hook,S3,,hʊk,,
hope,S2,W2,həʊp,,
horror,,W3,,ˈhɔːrər,ˈhɒrə
horse,S1,W1,,hɔːrs,hɔːs
hospital,S1,W1,,ˈhɑːspɪtl,ˈhɒspɪt(ə)l
host,,W3,həʊst,,
hotel,S2,W1,həʊˈtel,,
hour,S1,W1,,ˈaʊər,ˈaʊə
house,S1,W1,,haʊs,haʊz
household,S3,W2,ˈhaʊshəʊld,,
housing,,W2,,ˈhaʊzɪŋ,haʊzɪŋ
human,,W3,ˈhjuːmən,,
hurry,S3,,,ˈhɜːrɪ,ˈhʌrɪ
husband,S1,W1,ˈhʌzbənd,,
ice,S2,W3,aɪs,,
ice cream,S2,,,,
idea,S1,W1,,aɪˈdiːə,aɪˈdɪə
identity,,W2,,aɪˈdentətɪ,aɪˈdentɪtɪ
idiot,S3,,ˈɪdɪət,,
illness,S3,W3,,ˈɪlnəs,ɪlnəs
image,S2,W1,ˈɪmɪdʒ,,
imagination,S3,W3,,ɪˌmædʒɪˈneɪʃn,ɪˌmædʒɪˈneɪʃ(ə)n
impact,S3,W2,,ˈɪmpækt,ɪmˈpækt
implication,S3,W2,,ˌɪmplɪˈkeɪʃn,ɪmplɪˈkeɪʃ(ə)n
import,,W3,,ɪmˈpɔːrt (strong)/ɪmˈpɔːt (weak),ˈɪmpɔːrt (strong)/ˈɪmpɔːt (weak)
importance,S3,W1,,ɪmˈpɔːrtns,ɪmˈpɔːt(ə)ns
impression,S2,W2,,ɪmˈpreʃn,ɪmˈpreʃ(ə)n
improvement,S3,W2,,ɪmˈpruːvmənt,ɪmˈpruːvm(ə)nt
inch,S2,W3,ɪntʃ,,
incident,S3,W2,,ˈɪnsɪdənt,ˈɪnsɪd(ə)nt
income,S2,W1,ˈɪnkʌm,,
increase,S2,W1,,ɪnˈkriːs,ˈɪŋkriːs
independence,,W2,,ˌɪndɪˈpendəns,ɪndɪˈpend(ə)ns
index,,W2,ˈɪndeks,,
indication,S3,W3,,ˌɪndɪˈkeɪʃn,ɪndɪˈkeɪʃ(ə)n
individual,S2,W1,,ˌɪndɪˈvɪdʒʊəl,ɪndɪˈvɪdʒʊ(ə)l
industry,S2,W1,ˈɪndəstrɪ,,
infant,,W3,,ˈɪnfənt,ˈɪnf(ə)nt
infection,,W3,,ɪnˈfekʃn,ɪnˈfekʃ(ə)n
inflation,S3,W2,,ɪnˈfleɪʃn,ɪnˈfleɪʃ(ə)n
influence,S3,W1,ˈɪnflʊəns,,
information,S1,W1,,ˌɪnfərˈmeɪʃn,ɪnfəˈmeɪʃ(ə)n
initiative,S3,W2,ɪˈnɪʃətɪv,,
injury,S3,W2,,ˈɪndʒərɪ,ˈɪn(d)ʒ(ə)rɪ
innovation,,W3,,ˌɪnəˈveɪʃn,ɪnəˈveɪʃ(ə)n
input,,W3,ˈɪnpʊt,,
inquiry,,W2,,ˌɪnˈkwaɪrɪ,ɪnˈkwaɪrɪ
insect,,W3,ˈɪnsekt,,
inside,S3,,ˌɪnˈsaɪd,,
inspection,,W3,ɪnˈspekʃn,,
inspector,S3,W3,,ɪnˈspektər,ɪnˈspektə
instance,S3,W2,,ˈɪnstəns,ˈɪnst(ə)ns
institute,,W3,,ˈɪnstɪtuːt,ˈɪnstɪtjuːt
institution,,W1,,ˌɪnstɪˈtuːʃn,ɪnstɪˈtjuːʃ(ə)n
instruction,S3,W2,,ɪnˈstrʌkʃn,ɪnˈstrʌkʃ(ə)n
instrument,,W2,,ˈɪnstrəmənt,ˈɪnstrʊm(ə)nt
insurance,S2,W2,,ɪnˈʃʊrəns,ɪnˈʃʊər(ə)ns
intelligence,S3,W3,,ɪnˈtelɪdʒəns,ɪnˈtelɪdʒ(ə)ns
intention,S3,W2,,ɪnˈtenʃn,ɪnˈtenʃ(ə)n
interaction,,W3,,ˌɪntərˈækʃn,ɪntərˈækʃ(ə)n
interest,S1,W1,ˈɪntrəst,,
internet,S2,W2,,ˈɪntərnet,ˈɪntənet
interpretation,,W2,,ɪnˌtɜːrprɪˈteɪʃn,ɪntɜːprɪˈteɪʃ(ə)n
interval,,W3,,ˈɪntərvl,ˈɪntəv(ə)l
intervention,,W3,,ˌɪntərˈvenʃn,ɪntəˈvenʃ(ə)n
interview,S2,W2,,ˈɪntərvjuː,ˈɪntəvjuː
introduction,S3,W2,,ˌɪntrəˈdʌkʃn,ˌɪntrəˈdʌkʃ(ə)n
investigation,,W2,,ɪnˌvestɪˈɡeɪʃn,ɪnˌvestɪˈɡeɪʃ(ə)n
investment,S2,W1,,ɪnˈvestmənt,ɪnˈves(t)m(ə)nt
involvement,,W3,,ɪnˈvɑːlvmənt,ɪnˈvɒlvm(ə)nt
iron,S2,W3,,ˈaɪərn,ˈaɪən
island,S3,W2,ˈaɪlənd,,
issue,S1,W1,ˈɪʃuː,,
item,S3,W2,ˈaɪtəm,,
jacket,S2,W3,ˈdʒækɪt,,
jam,S3,,dʒæm,,
job,S1,W1,,dʒɑːb,dʒɒb
joke,S2,W3,dʒəʊk,,
journalist,,W3,,ˈdʒɜːrnəlɪst,ˈdʒɜːn(ə)lɪst
journey,S3,W2,,ˈdʒɜːrnɪ,ˈdʒɜːnɪ
joy,,W3,dʒɔɪ,,
judge,S2,W2,dʒʌdʒ,,
judgment,,W2,ˈdʒʌdʒmənt,,
juice,S2,,dʒuːs,,
jump,S3,,dʒʌmp,,
jumper,S3,,,ˈdʒʌmpər,ˈdʒʌmpə
jury,S3,W3,,ˈdʒʊrɪ,ˈdʒʊərɪ
justice,,W2,ˈdʒʌstɪs,,
kettle,S3,,,ˈketl,ˈket(ə)l
key,S2,W2,kiː,,
keyboard,S3,,,ˈkiːbɔːrd,ˈkiːbɔːd
kick,S3,,,kɪk,ˈkɪk
kid,S1,W2,kɪd,,
kilometre,S3,W3,,ˈkɪləmiːtər,ˈkɪləˌmiːtə
kind,S1,W1,kaɪnd,,
king,,W1,kɪŋ,,
kit,S3,,kɪt,,
kitchen,S1,W2,ˈkɪtʃɪn,,
knee,S2,W2,niː,,
knife,S3,W3,naɪf,,
knowledge,S2,W1,,ˈnɑːlɪdʒ,ˈnɒlɪdʒ
lab,S3,,læb,,
label,S3,W3,,ˈleɪbl,ˈleɪb(ə)l
laboratory,,W3,,ˈlæbrətɔːrɪ,ləˈbɒrəˌt(ə)rɪ
labour,S2,W1,,ˈleɪbər,ˈleɪbə
lack,S3,W2,læk,,
lad,S2,W3,læd,,
ladder,S3,,,ˈlædər,ˈlædə
lady,S1,W2,ˈleɪdɪ,,
lake,S3,W3,leɪk,,
lamb,S3,,læm,,
lamp,S3,,læmp,,
land,S1,W1,lænd,,
landlord,,W3,,ˈlændlɔːrd,ˈlæn(d)lɔːd
landscape,,W3,,ˈlændskeɪp,ˈlæn(d)skeɪp
lane,S3,W3,leɪn,,
language,S1,W1,ˈlæŋɡwɪdʒ,,
last,S1,W1,,læst,lɑːst
latter,,W2,,ˈlætər,ˈlætə
laugh,S3,,,læf,lɑːf
law,S1,W1,lɔː,,
lawyer,S3,W2,,ˈlɔːjər,ˈlɔːjə
layer,S3,W3,,ˈleɪər,ˈleɪə
lead,S2,W2,liːd,,
leader,S2,W1,,ˈliːdər,ˈliːdə
leadership,S3,W2,,ˈliːdərʃɪp,ˈliːdəʃɪp
leaf,S2,W2,liːf,,
league,,W2,liːɡ,,
leather,,W3,,ˈleðər,ˈleðə
leave,S3,W2,liːv,,
lecture,S2,W3,,ˈlektʃər,ˈlektʃə
left,S3,W3,left,,
leg,S1,W1,leɡ,,
legislation,,W2,,ˌledʒɪsˈleɪʃn,ledʒɪsˈleɪʃ(ə)n
leisure,,W3,,ˈliːʒər,ˈleʒə
length,S2,W2,,leŋθ,leŋ(k)θ
lesson,S2,W3,,ˈlesn,ˈles(ə)n
letter,S1,W1,,ˈletər,ˈletə
level,S1,W1,,ˈlevl,ˈlev(ə)l
library,S2,W1,,ˈlaɪbrerɪ,ˈlaɪbrərɪ
licence,S3,W2,,ˈlaɪsns,ˈlaɪs(ə)ns
lid,S3,,lɪd,,
lie,S3,,laɪ,,
life,S1,W1,laɪf,,
lift,S3,W3,lɪft,,
light,S1,W1,laɪt,,
lighting,S3,,ˈlaɪtɪŋ,,
like,,W3,laɪk,,
limit,S2,W2,ˈlɪmɪt,,
limitation,,W3,,ˌlɪmɪˈteɪʃn,lɪmɪˈteɪʃ(ə)n
line,S1,W1,laɪn,,
link,S3,W2,lɪŋk,,
lip,S3,W2,lɪp,,
liquid,,W3,ˈlɪkwɪd,,
list,S1,W1,lɪst,,
literature,S3,W2,,ˈlɪtrətʃər,ˈlɪt(ə)rətʃə
living,S2,,ˈlɪvɪŋ,,
load,S1,W3,ləʊd,,
loan,S2,W2,ləʊn,,
location,S3,W2,,ləʊˈkeɪʃn,lə(ʊ)ˈkeɪʃ(ə)n
lock,S2,,,lɑːk,lɒk
log,S3,,,lɔːɡ,lɒɡ
look,S1,W1,lʊk,,
lord,S3,W2,,lɔːrd,lɔːd
lorry,S3,,,ˈlɔːrɪ,ˈlɒrɪ
loss,S2,W1,,lɔːs,lɒs
lot,S2,,,lɑːt,lɒt
lounge,S3,,,laʊndʒ,laʊn(d)ʒ
love,S1,W1,lʌv,,
lover,,W3,,ˈlʌvər,ˈlʌvə
luck,S2,W3,lʌk,,
lump,S2,,lʌmp,,
lunch,S1,W2,,lʌntʃ,lʌn(t)ʃ
lunchtime,S3,,,ˈlʌntʃtaɪm,ˈlʌn(t)ʃtaɪm
machine,S1,W1,məˈʃiːn,,
machinery,,W3,,məˈʃiːnərɪ,məˈʃiːn(ə)rɪ
madam,S3,,ˈmædəm,,
magazine,S2,W2,,ˈmæɡəziːn,mæɡəˈziːn
magic,,W3,ˈmædʒɪk,,
mail,S3,W3,meɪl,,
maintenance,,W3,,ˈmeɪntənəns,ˈmeɪnt(ə)nəns
majority,S2,W1,,məˈdʒɔːrətɪ,məˈdʒɒrɪtɪ
male,,W3,meɪl,,
mall,S3,W3,mɔːl,,
man,S1,W1,mæn,,
management,S1,W1,,ˈmænɪdʒmənt,ˈmænɪdʒm(ə)nt
manager,S1,W1,,ˈmænɪdʒər,ˈmænɪdʒə
manner,S3,W2,,ˈmænər,ˈmænə
manufacturer,,W2,,ˌmænjʊˈfæktʃərər,ˌmænjʊˈfæktʃ(ə)rə
manufacturing,,W3,,ˌmænjəˈfæktʃərɪŋ,ˌmænjʊˈfæktʃərɪŋ
map,S2,W2,mæp,,
march,,W3,,mɑːrtʃ,mɑːtʃ
margin,,W3,,ˈmɑːrdʒən,ˈmɑːdʒɪn
mark,S3,W2,,mɑːrk,mɑːk
market,S1,W1,,ˈmɑːrkɪt,ˈmɑːkɪt
marketing,S3,W3,,ˈmɑːrkɪtɪŋ,ˈmɑːkɪtɪŋ
marriage,S2,W2,ˈmærɪdʒ,,
mass,,W2,mæs,,
master,S2,W2,,ˈmæstər,ˈmɑːstə
match,S2,W2,mætʃ,,
mate,S2,,meɪt,,
material,S1,W1,,məˈtɪrɪəl,məˈtɪərɪəl
math,S2,,mæθ,,
maths,S2,,mæθs,,
matter,S1,W1,,ˈmætər,ˈmætə
meal,S2,W2,miːl,,
meaning,S2,W1,ˈmiːnɪŋ,,
means,S2,W2,miːnz,,
measure,,W2,,ˈmeʒər,ˈmeʒə
measurement,,W3,,ˈmeʒərmənt,ˈmeʒəm(ə)nt
meat,S2,W3,miːt,,
mechanism,S3,W3,,ˈmekənɪzəm,ˈmek(ə)nɪz(ə)m
media,S2,W2,ˈmiːdɪə,,
medicine,S2,W3,,ˈmedsn,ˈmeds(ə)n
meeting,S1,W1,ˈmiːtɪŋ,,
member,S1,W1,,ˈmembər,ˈmembə
membership,S2,W2,,ˈmembərʃɪp,ˈmembəʃɪp
memory,S2,W1,,ˈmemərɪ,ˈmem(ə)rɪ
menu,S3,,ˈmenjuː,,
mess,S2,,mes,,
message,S1,W2,ˈmesɪdʒ,,
metal,S2,W2,,ˈmetl,ˈmet(ə)l
method,S1,W1,ˈmeθəd,,
metre,S2,W3,,ˈmiːtər,ˈmiːtə
middle,S1,W2,,ˈmɪdl,ˈmɪd(ə)l
midnight,S3,,ˈmɪdnaɪt,,
mile,S1,W1,maɪl,,
milk,S2,W3,mɪlk,,
millimetre,S3,,,ˈmɪlɪmiːtər,ˈmɪlɪmiːtə
mind,S1,W1,maɪnd,,
mine,S2,W3,maɪn,,
mineral,,W3,,ˈmɪnərəl,ˈmɪn(ə)r(ə)l
minister,S1,W1,,ˈmɪnɪstər,ˈmɪnɪstə
ministry,,W2,ˈmɪnɪstrɪ,,
minority,S3,W2,,maɪˈnɔːrətɪ,maɪˈnɒrɪtɪ
minute,S1,W1,ˈmɪnɪt,,
mirror,S3,W3,,ˈmɪrər,ˈmɪrə
misery,S3,,,ˈmɪzərɪ,ˈmɪz(ə)rɪ
miss,S2,,mɪs,,
mission,S3,W2,,ˈmɪʃn,ˈmɪʃ(ə)n
mistake,S2,W2,mɪˈsteɪk,,
mixture,S3,W3,,ˈmɪkstʃər,ˈmɪkstʃə
mobile,S2,,,ˈməʊbl,ˈməʊbaɪl
mobile phone,S2,W3,,,
mode,,W3,məʊd,,
model,S2,W1,,ˈmɑːdl,ˈmɒd(ə)l
mom,S1,,,mɑːm,mɒm
moment,S1,W1,,ˈməʊmənt,ˈməʊm(ə)nt
mommy,S3,,,ˈmɑːmɪ,ˈmɒmɪ
money,S1,W1,ˈmʌnɪ,,
month,S1,W1,mʌnθ,,
mood,S3,W3,muːd,,
moon,,W3,muːn,,
morning,S1,W1,,ˈmɔːrnɪŋ,ˈmɔːnɪŋ
mortgage,,W3,,ˈmɔːrɡɪdʒ,ˈmɔːɡɪdʒ
mother,S1,W1,,ˈmʌðər,ˈmʌðə
motion,,W3,,ˈməʊʃn,ˈməʊʃ(ə)n
motor,S3,W3,,ˈməʊtər,ˈməʊtə
motorway,S2,,,ˈməʊtərweɪ,ˈməʊtəweɪ
mountain,S3,W3,,ˈmaʊntn,ˈmaʊntɪn
mouse,S2,W3,maʊs,,
