word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
sole,,W3,səʊl,,
solid,S3,W3,,ˈsɑːlɪd,ˈsɒlɪd
sore,S3,,,sɔːr,sɔː
sorry,S1,W2,,ˈsɑːrɪ,ˈsɒrɪ
sound,,W3,saʊnd,,
southern,S2,W2,,ˈsʌðərn,ˈsʌð(ə)n
spare,S2,,,sper,speə
special,S1,W1,,ˈspeʃl,ˈspeʃ(ə)l
specific,S1,W1,spəˈsɪfɪk,,
spiritual,,W3,ˈspɪrɪtʃʊəl,,
square,S2,W3,,skwer,skweə
stable,,W3,,ˈsteɪbl,ˈsteɪb(ə)l
standard,S2,W2,,ˈstændərd,ˈstændəd
steady,,W3,ˈstedɪ,,
steep,S3,,stiːp,,
stiff,S3,,stɪf,,
still,S3,,stɪl,,
straight,S2,W3,streɪt,,
straightforward,S3,,,ˌstreɪtˈfɔːrwərd,streɪtˈfɔːwəd
strange,S2,W2,,streɪndʒ,streɪn(d)ʒ
strategic,,W3,strəˈtiːdʒɪk,,
strict,S3,,strɪkt,,
strong,S1,W1,,strɔːŋ,strɒŋ
stupid,S1,W3,,ˈstuːpɪd,ˈstjuːpɪd
subsequent,,W2,,ˈsʌbsɪkwənt,ˈsʌbsɪkw(ə)nt
substantial,S3,W2,,səbˈstænʃl,səbˈstænʃ(ə)l
successful,S2,W1,,səkˈsesfl,səkˈsesfʊl
sudden,S2,W3,,ˈsʌdn,ˈsʌd(ə)n
sufficient,S2,W2,,səˈfɪʃnt,səˈfɪʃ(ə)nt
suitable,S3,W2,,ˈsuːtəbl,ˈsuːtəb(ə)l
super,S2,,,ˈsuːpər,ˈsuːpə
sure,S1,W1,,ʃʊr,ʃʊə
surprised,S2,W2,,sərˈpraɪzd,səˈpraɪzd
surprising,S3,W3,,sərˈpraɪzɪŋ,səˈpraɪzɪŋ
suspicious,S3,,səˈspɪʃəs,,
sweet,S2,W3,swiːt,,
tall,S2,W2,tɔːl,,
technical,S2,W2,,ˈteknɪkl,ˈteknɪk(ə)l
temporary,S3,W3,,ˈtempərerɪ,ˈtemp(ə)rərɪ
terrible,S1,W3,,ˈterəbl,ˈterɪb(ə)l
theoretical,,W3,,ˌθiːəˈretɪkl,θɪəˈretɪk(ə)l
thick,S2,W2,θɪk,,
thin,S2,W2,θɪn,,
tidy,S3,,ˈtaɪdɪ,,
tight,S2,W3,taɪt,,
tiny,S2,W2,ˈtaɪnɪ,,
tired,S1,W2,,ˈtaɪərd,taɪəd
top,S1,W1,,tɑːp,tɒp
total,S1,W1,,ˈtəʊtl,ˈtəʊt(ə)l
tough,S2,W2,tʌf,,
traditional,S3,W1,,trəˈdɪʃənl,trəˈdɪʃ(ə)n(ə)l
tremendous,S2,,,trəˈmendəs,trɪˈmendəs
tricky,S3,,ˈtrɪkɪ,,
true,S1,W1,truː,,
typical,S2,W2,,ˈtɪpɪkl,ˈtɪpɪk(ə)l
ugly,S3,,ˈʌɡlɪ,,
ultimate,,W3,ˈʌltɪmət,,
unable,,W2,,ʌnˈeɪbl,ʌnˈeɪb(ə)l
unbelievable,S3,,,ˌʌnbɪˈliːvəbl,ʌnbɪˈliːvəb(ə)l
unemployed,S2,W3,,ˌʌnɪmˈplɔɪd,ʌnɪmˈplɔɪd
unfair,S3,,,ˌʌnˈfer,ʌnˈfeə
unfortunate,S3,,,ʌnˈfɔːrtʃənət,ʌnˈfɔːtʃ(ə)nət
unhappy,S3,,ʌnˈhæpɪ,,
unique,S3,W2,,jʊˈniːk,juːˈniːk
united,S2,W3,jʊˈnaɪtɪd,,
universal,,W3,,ˌjuːnɪˈvɜːrsl,juːnɪˈvɜːs(ə)l
unknown,,W2,,ˌʌnˈnəʊn,ʌnˈnəʊn
unlikely,S3,W2,ʌnˈlaɪklɪ,,
unusual,S2,W3,ʌnˈjuːʒʊəl,,
up,S1,W1,ʌp,,
upper,,W2,,ˈʌpər,ˈʌpə
upset,S2,,,ˌʌpˈset,ˈʌpset
urban,,W2,,ˈɜːrbən,ˈɜːb(ə)n
urgent,S3,,,ˈɜːrdʒənt,ˈɜːdʒ(ə)nt
used,S1,W2,,juːst,ˈjuːzd
useful,S1,W1,,ˈjuːsfl,ˈjuːsfʊl
usual,S2,W2,ˈjuːʒʊəl,,
vague,S3,,veɪɡ,,
valuable,,W3,,ˈvæljʊəbl,ˈvæljʊb(ə)l
various,S1,W1,,ˈverɪəs,ˈveərɪəs
vast,S3,W2,,væst,vɑːst
very,S2,W1,ˈverɪ,,
violent,S3,W3,,ˈvaɪələnt,ˈvaɪəl(ə)nt
visible,,W3,,ˈvɪzəbl,ˈvɪzɪb(ə)l
visual,,W3,,ˈvɪʒʊəl,ˈvɪʒ(j)ʊəl
vital,,W2,,ˈvaɪtl,ˈvaɪt(ə)l
voluntary,,W3,,ˈvɑːlənterɪ,ˈvɒlənt(ə)rɪ
vulnerable,,W3,,ˈvʌlnərəbl,ˈvʌln(ə)rəb(ə)l
warm,S2,W2,,wɔːrm,wɔːm
waste,,W3,weɪst,,
weak,S3,W2,wiːk,,
weekly,,W3,ˈwiːklɪ,,
weird,S2,,,wɪrd,wɪəd
welcome,S2,W3,ˈwelkəm,,
well,S1,W2,wel,,
western,S2,W2,,ˈwestərn,ˈwest(ə)n
wet,S2,W3,wet,,
white,S1,W1,waɪt,,
whole,S1,W1,həʊl,,
wicked,S3,,ˈwɪkɪd,,
wide,S1,W1,waɪd,,
widespread,,W3,ˈwaɪdspred,,
wild,S2,W2,waɪld,,
willing,S2,W3,ˈwɪlɪŋ,,
windy,S3,,ˈwɪndɪ,,
wise,S3,,waɪz,,
wonderful,S1,W2,,ˈwʌndərfl,ˈwʌndəfʊl
wooden,S3,W3,,ˈwʊdn,ˈwʊd(ə)n
working,S2,W2,,ˈwɜːrkɪŋ,ˈwɜːkɪŋ
worried,S2,W3,,ˈwɜːrɪd,ˈwʌrɪd
worrying,S3,,,ˈwɜːrɪɪŋ,ˈwʌrɪɪŋ
worse,S2,W2,,wɜːrs,wɜːs
wrong,S1,W1,,rɔːŋ,rɒŋ
yellow,S2,W3,ˈjeləʊ,,
young,S1,W1,jʌŋ,,
