word,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
squeeze,S3,,skwiːz,,
stamp,S1,W1,stæmp,,
stand,S1,W1,stænd,,
stare,S3,W2,,ster,steə
start,S1,W1,,stɑːrt,stɑːt
starve,S3,,,stɑːrv,stɑːv
state,S3,W2,steɪt,,
stay,S1,W1,steɪ,,
steal,S3,W3,stiːl,,
step,S3,W3,step,,
stick,S1,W3,stɪk,,
stir,S3,W3,,stɜːr,stɜː
stop,S1,W1,,stɑːp,stɒp
store,S3,W3,,stɔːr,stɔː
strengthen,,W3,,ˈstreŋθn,ˈstreŋθ(ə)n
stress,S3,W3,stres,,
stretch,S3,W3,stretʃ,,
strike,S3,W3,straɪk,,
struggle,,W3,,ˈstrʌɡl,ˈstrʌɡ(ə)l
study,S2,W2,ˈstʌdɪ,,
submit,S3,W3,səbˈmɪt,,
succeed,S3,W2,səkˈsiːd,,
suck,S3,,sʌk,,
suffer,S1,W1,,ˈsʌfər,ˈsʌfə
suggest,S1,W1,səˈdʒest,,
suit,S3,W3,suːt,,
supply,S3,W2,səˈplaɪ,,
support,S1,W2,,səˈpɔːrt,səˈpɔːt
suppose,S1,W1,səˈpəʊz,,
surround,,W2,səˈraʊnd,,
survive,S2,W2,,sərˈvaɪv,səˈvaɪv
suspect,S2,W3,,səˈspekt,ˈsʌspekt
sustain,,W3,səˈsteɪn,,
swap,S3,,,swɑːp,swɒp
swear,S2,,,swer,sweə
sweep,,W3,swiːp,,
swim,S3,,swɪm,,
swing,,W3,swɪŋ,,
switch,S2,W3,swɪtʃ,,
tackle,S3,W3,,ˈtækl,ˈtæk(ə)l
take,S1,W1,teɪk,,
talk,S1,W1,tɔːk,,
taste,S2,,teɪst,,
teach,S1,W2,tiːtʃ,,
tear,S2,W3,,ter,tɪə
tell,S1,W1,tel,,
tend,S1,W1,tend,,
test,S3,W2,test,,
text,S2,,tekst,,
thank,S1,W2,θæŋk,,
think,S1,W1,θɪŋk,,
threaten,S3,W2,,ˈθretn,ˈθret(ə)n
throw,S1,W1,θrəʊ,,
tie,S2,W3,taɪ,,
tip,S3,,,tɪp,ˈtɪp
touch,S2,W2,tʌtʃ,,
trade,S3,W2,treɪd,,
train,S1,W2,treɪn,,
transfer,S3,W2,,trænsˈfɜːr (strong)/trænsˈfɜː(r) (weak),ˈtrænsfɜːr (strong)/ˈtrænsfɜː(r) (weak)
transform,,W3,,trænsˈfɔːrm,trænsˈfɔːm
translate,S3,,trænsˈleɪt,,
travel,S2,W2,,ˈtrævl,ˈtræv(ə)l
treat,S2,W1,triːt,,
trust,S2,W3,trʌst,,
try,S1,W1,traɪ,,
turn,S1,W1,,tɜːrn,tɜːn
twist,S3,,twɪst,,
understand,S1,W1,,ˌʌndərˈstænd,ˌʌndəˈstænd
undertake,,W3,,ˌʌndərˈteɪk,ʌndəˈteɪk
upset,S2,,,ˌʌpˈset,ˈʌpset
urge,,W3,,ɜːrdʒ,ɜːdʒ
use,S1,W1,juːz,,
vary,S3,W2,,ˈverɪ,ˈveərɪ
visit,S2,W1,ˈvɪzɪt,,
vote,S2,W2,vəʊt,,
wait,S1,W1,weɪt,,
wake,S2,W3,weɪk,,
walk,S1,W1,wɔːk,,
wander,S3,,,ˈwɑːndər,ˈwɒndə
want,S1,W1,,wɑːnt,wɒnt
warn,S3,W2,,wɔːrn,wɔːn
wash,S1,W3,,wɑːʃ,wɒʃ
waste,S2,W3,weɪst,,
watch,S1,W1,,wɑːtʃ,wɒtʃ
wave,S3,W3,weɪv,,
wear,S1,W1,,wer,weə
weigh,S3,W3,weɪ,,
welcome,S2,W2,ˈwelkəm,,
whisper,,W3,,ˈwɪspər,ˈwɪspə
win,S1,W1,wɪn,,
wind,S3,W3,wɪnd,,
wipe,S3,,waɪp,,
wish,S1,W1,wɪʃ,,
withdraw,S3,W2,wɪðˈdrɔː,,
wonder,S1,W2,,ˈwʌndər,ˈwʌndə
work,S1,W1,,wɜːrk,wɜːk
worry,S1,W2,,ˈwɜːrɪ,ˈwʌrɪ
wound,,W3,wuːnd,,
wrap,S3,,ræp,,
write,S1,W1,raɪt,,
